# event;subevent;status;phid;time;geo;pos dist; time dist;speed;user0
FA-BC81D032-3A8E-4F3E-9919-47976482030C;MG3GNZ20OJ;guest;878C3B91-CC63-4483-B019-4646BDB40CC4/L0/001;04/01/2018 10:42:45;30.2033  60.07029;19.18633;0.07806;230.23593;False
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;49919BC9-71CF-42BA-B4F4-3BC98011957F/L0/001;04/01/2018 10:47:26;30.03681 60.22175;0.00000;0.00028;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;36482632-FCAD-42B8-B79B-C533E9002333/L0/001;04/01/2018 10:47:27;30.03681 60.22175;0.01170;0.00167;0.14039;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;38B08D98-AF74-42BE-98E2-301352F9A3A1/L0/001;04/01/2018 10:47:33;30.0366  60.22173;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;D2233DFF-552B-4404-A7F6-1E0565FD0487/L0/001;04/01/2018 10:47:33;30.0366  60.22173;0.00582;0.00194;0.06986;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;86A45F68-01AC-488C-BBA2-14A79B8B6E07/L0/001;04/01/2018 10:47:40;30.0365  60.22172;0.00015;0.00083;0.00184;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;259CEE48-5A31-4084-9395-813ABF55C8FE/L0/001;04/01/2018 10:47:43;30.0365  60.22172;0.00000;0.00083;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;26A06A4D-8BE4-4A96-BD4B-839092FF95C5/L0/001;04/01/2018 10:47:46;30.0365  60.22172;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;2F6E0058-08DB-4221-88F8-F477BD821A24/L0/001;04/01/2018 10:47:46;30.0365  60.22172;0.00000;0.00056;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;1A81BED1-315A-4629-BAE5-12271FD08DA7/L0/001;04/01/2018 10:47:48;30.0365  60.22172;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;D313B364-08F3-4D5B-A2EF-33387AD03575/L0/001;04/01/2018 10:47:48;30.0365  60.22172;0.00000;0.00111;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;91BE5E84-B597-4288-86E5-A1C5F8847B61/L0/001;04/01/2018 10:47:52;30.0365  60.22172;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;A2CBF284-CD8B-4153-8509-20FEF3385986/L0/001;04/01/2018 10:47:52;30.0365  60.22172;0.00000;0.00028;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;D49D2BDA-940F-41E4-9383-0B156453288B/L0/001;04/01/2018 10:47:53;30.0365  60.22172;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;DD0397AA-9796-410E-B322-81534CED8060/L0/001;04/01/2018 10:47:53;30.0365  60.22172;0.00154;0.00111;0.01844;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;8CA9DE33-2931-43B8-BDDD-2782FFFC5B28/L0/001;04/01/2018 10:47:57;30.03648 60.22172;0.00000;0.00028;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;421632B1-C251-4017-AA16-71353FA00552/L0/001;04/01/2018 10:47:58;30.03648 60.22172;0.00062;0.00028;0.00741;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;64C8367F-02D8-4C02-848B-9D27702E57CD/L0/001;04/01/2018 10:47:59;30.03648 60.22173;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;85EE7643-2EF0-4F35-8FA4-BC56374ADEDE/L0/001;04/01/2018 10:47:59;30.03648 60.22173;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;A6529CC4-9833-4025-834C-D3389C6B28D3/L0/001;04/01/2018 10:47:59;30.03648 60.22173;0.00015;0.00056;0.00184;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;45F18F51-7F0B-457A-A6CF-F73DBD79502E/L0/001;04/01/2018 10:48:01;30.03648 60.22173;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;BC827225-4312-43C6-A121-5D6382BF82CD/L0/001;04/01/2018 10:48:01;30.03648 60.22173;0.00197;0.00333;0.02362;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;QXPWU8QUY9;owner;A9719BE5-D0A4-4FA2-B04E-7B0012CA69DF/L0/001;04/01/2018 10:48:13;30.03645 60.22174;12.83550;1011.18222;0.01269;True
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;PDP3M6DJMZ;owner;306A5BB7-3CD7-4AE2-BA6B-73A12117103A/L0/001;10/19/2018 18:30:28;30.36162 59.92052;0.02890;0.00083;0.34676;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;PDP3M6DJMZ;owner;64C267C5-F27A-4A12-8504-CA68D684AB48/L0/001;10/19/2018 18:30:31;30.36189 59.92029;0.01204;0.00083;0.14443;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;PDP3M6DJMZ;owner;41265116-D8AE-4F4C-9509-B03A5DEDDE41/L0/001;10/19/2018 18:30:34;30.36175 59.92037;0.00657;0.00083;0.07887;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;PDP3M6DJMZ;owner;FFA71D78-D6CF-4811-B0A8-84803D602D1D/L0/001;10/19/2018 18:30:37;30.36177 59.92043;0.00919;0.00056;0.11034;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;PDP3M6DJMZ;owner;2609F82C-856F-4C11-A349-B0E1868015DF/L0/001;10/19/2018 18:30:39;30.36169 59.92051;2.42343;1.33194;1.81946;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;UAM5X2U0PL;owner;80884880-10CA-42DE-A82E-1CFD68E44742/L0/001;10/19/2018 19:50:34;30.32565 59.93273;0.00361;0.00222;0.04337;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;UAM5X2U0PL;owner;458184D9-FDD2-4FF4-B342-1427A0E41D05/L0/001;10/19/2018 19:50:42;30.32567 59.93276;0.00373;0.00583;0.04477;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;UAM5X2U0PL;owner;2C7F9BDD-9DBC-498D-A519-2F6D6B7D8657/L0/001;10/19/2018 19:51:03;30.32564 59.93273;0.01139;0.02556;0.13674;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;UAM5X2U0PL;owner;CCF7E755-18A4-42EF-A00E-C3B8DC6AB265/L0/001;10/19/2018 19:52:35;30.32584 59.93272;0.01087;0.00222;0.13038;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;UAM5X2U0PL;owner;2371CFE2-9400-4E58-87AB-389A6F7A9637/L0/001;10/19/2018 19:52:43;30.32565 59.93272;0.01317;0.00194;0.15803;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;UAM5X2U0PL;owner;119779F6-2750-4AC4-B98F-F33360C86EEA/L0/001;10/19/2018 19:52:50;30.32588 59.93274;0.00864;0.00167;0.10365;False
FA-7E28C401-E1D9-4CF0-A232-CEDB0E23DDDB;UAM5X2U0PL;owner;6F584D60-FCE9-4526-89BD-9A72500747CB/L0/001;10/19/2018 19:52:56;30.32577 59.9328 ;1.68106;1029.62972;0.00163;False
FA-F37603B5-1F47-4ADD-93AE-CF621C8EF3A7;RKEKQ1TN3F;owner;0B1FF458-65E5-4DC2-B9F4-89FE9E4176C8/L0/001;04/29/2019 12:00:03;32.53659 45.44806;0.01081;0.06940;0.12972;False
FA-F37603B5-1F47-4ADD-93AE-CF621C8EF3A7;RKEKQ1TN3F;owner;964F24DA-5193-42F2-9EF8-8C8BF10A7A2E/L0/001;04/29/2019 12:04:12;32.53671 45.44801;1.22605;0.97754;1.25422;False
FA-F37603B5-1F47-4ADD-93AE-CF621C8EF3A7;RKEKQ1TN3F;owner;3F6D07AE-6D12-4D1E-9EBF-6149B75CA635/L0/001;04/29/2019 13:02:52;32.54649 45.45665;0.19573;0.25624;0.76385;False
FA-F37603B5-1F47-4ADD-93AE-CF621C8EF3A7;RKEKQ1TN3F;owner;C79A917D-B1E1-4D79-8228-406F627F08C6/L0/001;04/29/2019 13:18:14;32.54399 45.45647;622.25464;0.67482;922.11069;False
FA-F37603B5-1F47-4ADD-93AE-CF621C8EF3A7;BS7KYTN1R8;guest;7A2EF006-273A-4768-911C-E4FB1A5C8A80/L0/001;04/29/2019 13:58:43;39.38568 48.5593 ;0.00967;0.05444;0.11603;True
FA-F37603B5-1F47-4ADD-93AE-CF621C8EF3A7;BS7KYTN1R8;guest;C43C23AA-D428-45B2-8BED-B37774BE6E52/L0/001;04/29/2019 14:01:59;39.38569 48.55921;626.45507;0.63670;983.90718;True
FA-F37603B5-1F47-4ADD-93AE-CF621C8EF3A7;LQ8GBG47Y9;owner;80D74C9E-DCED-4A39-9F29-8B51DE4ED4BD/L0/001;04/29/2019 14:40:11;32.50864 45.42628;626.41478;1.09816;570.42373;False
FA-67C13ADE-F970-423B-840A-507718450A11;OGCJPO7GZ8;owner;7BEB55D3-B85F-4530-918C-2DA32C8A4ABD/L0/001;05/01/2019 16:36:44;39.38571 48.55929;0.00239;0.00522;0.02871;False
FA-67C13ADE-F970-423B-840A-507718450A11;OGCJPO7GZ8;owner;85E3C6A4-F09A-4A1F-BC84-E9A5EDC24A53/L0/001;05/01/2019 16:37:03;39.38569 48.5593 ;617.85201;0.41766;1479.30830;False
FA-67C13ADE-F970-423B-840A-507718450A11;3GFGOXBVNY;guest;8B435DBC-EAD9-4911-952F-B9B2C6ED83FE/L0/001;05/01/2019 17:02:07;34.01313 44.40495;0.34254;11.86626;0.02887;True
FA-1A13BBDB-FA01-4D97-B2A4-C42D9AFD6C76;D56NU0POSS;guest;CC32ECB9-7DEF-409F-969B-178E00312D9F/L0/001;05/03/2019 10:52:36;33.78971 44.58722;614.14139;0.41011;1497.50101;True
FA-1A13BBDB-FA01-4D97-B2A4-C42D9AFD6C76;4TEC4U9WO2;owner;37C36EF1-987D-45AA-B39E-C32A4225A00C/L0/001;05/03/2019 11:17:12;39.38565 48.55926;613.24201;1.36546;449.10919;False
FA-99EC6FA2-AF45-4367-A85E-B3FADFA8791B;3NDVVYDW70;owner;324E090A-6B6B-4AE0-930E-2EB0C3CA9F09/L0/001;06/01/2019 13:07:27;40.29891 48.35327;0.01579;0.15688;0.10063;False
FA-99EC6FA2-AF45-4367-A85E-B3FADFA8791B;3NDVVYDW70;owner;D71B6FF6-C1A5-4CBB-8301-546395E1C674/L0/001;06/01/2019 13:16:52;40.29875 48.35318;0.27202;0.02112;3.26426;False
